document,element,frequency_in_document
1994,E21,7.306869300648369e-05
1994,E22,0.0005114653119914379
1994,E23,0.0011117603321964523
1994,E24,0.00011474196357242551
1994,E25,2.9026423034127184e-05
1994,E26,1.605060666703e-05
1994,E27,9.959933208039434e-05
1994,E28,0.00020371028721042307
1994,E29,0.00014438641716129713
1994,E30,0.0003096882243562555
1995,E0,2.73619729238107e-05
1995,E1,2.7282066415873402e-05
1995,E2,0.00011747736416929955
1995,E3,0.002285648538450545
1995,E4,0.00011902431238178503
1995,E5,0.0005768057368542776
1995,E6,0.0001922595843917089
1995,E7,1.1700471456352663e-05
1995,E8,0.00013465552249329298
1995,E9,0.00046538368437470154
1995,E10,0.00034543687834245955
1995,E11,7.612931512092529e-05
1995,E12,1.3924448883147862e-05
1995,E13,1.2644900226635556e-05
1995,E14,3.337097713834611e-06
1995,E15,2.2374344487201507e-05
1995,E16,0.00016337137975747052
1995,E17,7.733800985863481e-05
1995,E18,0.0005481647375387124
1995,E19,0.00015017305297586182
1995,E20,5.0581515877320675e-05
1995,E21,7.134589220460031e-05
1995,E22,0.0005002613953391855
1995,E23,0.0011146663648106353
1995,E24,0.00012588234500418582
1995,E25,2.9400372273348466e-05
1995,E26,1.5729395885966852e-05
1995,E27,0.00011160519332129728
1995,E28,0.0002024296460195718
1995,E29,0.00014378331775291927
1995,E30,0.0003026975159794123
1996,E0,2.6336282507980893e-05
1996,E1,2.6842042962386275e-05
1996,E2,0.00011960136013860285
1996,E3,0.002268465254146308
1996,E4,0.00012096773741511758
1996,E5,0.0005738460091823941
1996,E6,0.00019146123385319427
1996,E7,1.4991522715714662e-05
1996,E8,0.00013717387493562453
1996,E9,0.00044898910091388235
1996,E10,0.0003425836937039521
1996,E11,7.267018917446698e-05
1996,E12,1.4026697952049274e-05
1996,E13,1.1605708838666835e-05
1996,E14,2.552150344599585e-06
1996,E15,2.1769330841961914e-05
1996,E16,0.0001822488741302319
1996,E17,7.42800044429528e-05
1996,E18,0.000530693620757945
1996,E19,0.00014978406592592948
1996,E20,4.9399371253676326e-05
1996,E21,7.163377510004563e-05
1996,E22,0.00048774157939740986
1996,E23,0.0011142872785624312
1996,E24,0.00011536299825864358
1996,E25,2.98412402259511e-05
1996,E26,1.5255390271186852e-05
1996,E27,0.00010194626870255572
1996,E28,0.00019962756558949946
1996,E29,0.00014079711810949607
1996,E30,0.0002954394715775905
1997,E0,2.5724101972026912e-05
1997,E1,2.6321387772446515e-05
1997,E2,0.00012147949833983574
1997,E3,0.0022590683423842064
1997,E4,0.00012380056416930868
1997,E5,0.0005727088529732498
1997,E6,0.00019118598577071695
1997,E7,1.6809861187142416e-05
1997,E8,0.0001401740189182086
1997,E9,0.00043674970399738415
1997,E10,0.0003411758472887899
1997,E11,7.000877128507712e-05
1997,E12,1.3983295467039315e-05
1997,E13,1.080821424445151e-05
1997,E14,3.023177235353217e-06
1997,E15,2.138408482057989e-05
1997,E16,0.00019883910170283002
1997,E17,7.236455318744092e-05
1997,E18,0.0005161128481329229
1997,E19,0.00015121745572483272
1997,E20,4.902028034875587e-05
1997,E21,6.788990541185622e-05
1997,E22,0.00047713889123868723
1997,E23,0.0011153298782854417
1997,E24,0.00010968280742482872
1997,E25,3.037182207197476e-05
1997,E26,1.4795990266079203e-05
1997,E27,9.692930767161055e-05
1997,E28,0.00019810142749057376
1997,E29,0.00013931289096381856
1997,E30,0.00029229883424572017
1998,E0,2.4990501168369215e-05
1998,E1,2.61131797543181e-05
1998,E2,0.0001234408414323983
1998,E3,0.0022492819519700016
1998,E4,0.00012676810719843495
1998,E5,0.0005683447137802895
1998,E6,0.00019073488762731406
1998,E7,1.818642396961576e-05
1998,E8,0.00014276431373917467
1998,E9,0.0004251750393848397
1998,E10,0.000339293218727162
1998,E11,6.803993653688269e-05
1998,E12,1.421719792270168e-05
1998,E13,1.0837131675468468e-05
1998,E14,8.042716335178378e-06
1998,E15,2.0843825403003325e-05
1998,E16,0.00021782721554559412
1998,E17,7.218026287729456e-05
1998,E18,0.0005012294540248684
1998,E19,0.00015060468392647628
1998,E20,4.8339843076254736e-05
1998,E21,6.572724204244624e-05
1998,E22,0.0004667729627908382
1998,E23,0.0011200333820950122
1998,E24,0.00010367909171366422
1998,E25,3.0927881860899e-05
1998,E26,1.4483205410249026e-05
1998,E27,9.182321151333634e-05
1998,E28,0.0001968032669820531
1998,E29,0.0001386584079656188
1998,E30,0.0002881146814260694
1999,E0,2.4243272513932913e-05
1999,E1,2.648411425462844e-05
1999,E2,0.00012559201461097413
1999,E3,0.0022625696110523796
1999,E4,0.00012951006595830842
1999,E5,0.0005638979547121432
1999,E6,0.00019104655827259436
1999,E7,2.339287727831831e-05
1999,E8,0.00014503402521291273
1999,E9,0.0004117510832527693
1999,E10,0.0003387401092485461
1999,E11,6.549362523440297e-05
1999,E12,1.440180692217121e-05
1999,E13,1.0450610443489518e-05
1999,E14,1.1475635997994146e-05
1999,E15,2.0764517832814887e-05
1999,E16,0.00023742088445753067
1999,E17,7.266237297104706e-05
1999,E18,0.0004865637672326227
1999,E19,0.0001473866699339741
1999,E20,4.7629388845060955e-05
1999,E21,6.433387543954598e-05
1999,E22,0.00045615632479382854
1999,E23,0.001130817558114882
1999,E24,9.785514631233481e-05
1999,E25,3.1584836656806235e-05
1999,E26,1.4401312218718264e-05
1999,E27,8.697397896363108e-05
1999,E28,0.0001971068404723369
1999,E29,0.00013865713280328457
1999,E30,0.00028348651568782854
2000,E0,2.345961502564369e-05
2000,E1,2.7035756002256827e-05
2000,E2,0.0001280403338333429
2000,E3,0.0022718469981604797
2000,E4,0.00013263690393068374
2000,E5,0.0005615706793883106
2000,E6,0.00019168701620423198
2000,E7,1.9534649738020906e-05
2000,E8,0.00014746739007179434
2000,E9,0.00039726091867513545
2000,E10,0.0003384964744677664
2000,E11,6.309553019306422e-05
2000,E12,1.4599184533110257e-05
2000,E13,1.0653546969473367e-05
2000,E14,1.4516169881400074e-06
2000,E15,2.0616770139137162e-05
2000,E16,0.0002538277151288022
2000,E17,7.331219221118439e-05
2000,E18,0.0004713438449566095
2000,E19,0.00014357546787102874
2000,E20,4.672048320866359e-05
2000,E21,6.282972053376475e-05
2000,E22,0.0004458847162415386
2000,E23,0.0011397304533433726
2000,E24,9.252943298678401e-05
2000,E25,3.231792945842765e-05
2000,E26,1.4454153053357762e-05
2000,E27,8.234304690046402e-05
2000,E28,0.00019733966289038783
2000,E29,0.00013660777143748745
2000,E30,0.0002790640064748707
2001,E0,2.2521518463741804e-05
2001,E1,2.7446126983631517e-05
2001,E2,0.00013089745722724472
2001,E3,0.002279675754017113
2001,E4,0.0001354395906042896
2001,E5,0.0005569723557987821
2001,E6,0.00019288478579812123
2001,E7,1.0778245947672727e-05
2001,E8,0.00015023253992110097
2001,E9,0.00038222846244809693
2001,E10,0.0003387301108454136
2001,E11,6.0411305996977575e-05
2001,E12,1.4033462961733751e-05
2001,E13,1.0725856495333476e-05
2001,E14,4.74028121365314e-06
2001,E15,2.0317304573296456e-05
2001,E16,0.0002671000696711256
2001,E17,7.251053752203881e-05
2001,E18,0.00045486531318957946
2001,E19,0.00014667584250032694
2001,E20,4.5391603559765324e-05
2001,E21,6.105331784389571e-05
2001,E22,0.00043553874779932443
2001,E23,0.0011432903579880974
2001,E24,8.719227978051042e-05
2001,E25,3.313616790073552e-05
2001,E26,1.4349888825709174e-05
2001,E27,7.7631847543963e-05
2001,E28,0.00019673685687963003
2001,E29,0.0001318968744177288
2001,E30,0.0002703617148388479
2002,E0,2.1413179429713237e-05
2002,E1,2.782026499047017e-05
2002,E2,0.00013419953000060275
2002,E3,0.002301208813356613
2002,E4,0.00013870841966583325
2002,E5,0.0005538615713187423
2002,E6,0.00019480342490549185
2002,E7,1.0538938489006121e-05
2002,E8,0.00015401125541111748
2002,E9,0.0003669825826806638
2002,E10,0.000340217893605345
2002,E11,5.743891269988373e-05
2002,E12,1.3448595731973208e-05
2002,E13,1.1098304860158988e-05
2002,E14,1.41357039268929e-06
2002,E15,1.9920107603847327e-05
2002,E16,0.0002770813781944702
2002,E17,7.336522375644726e-05
2002,E18,0.0004425271930304198
2002,E19,0.0001474497688633728
2002,E20,4.383734415038106e-05
2002,E21,5.9078292552473884e-05
2002,E22,0.00042707344737904585
2002,E23,0.0011511034725612216
2002,E24,8.216004996592398e-05
2002,E25,3.4106273518265506e-05
2002,E26,1.4268999742997415e-05
2002,E27,7.332586975359736e-05
2002,E28,0.0001963112544824265
2002,E29,0.00012872551515257741
2002,E30,0.0002617501377455161
2003,E0,2.0397151575252046e-05
2003,E1,2.8033820803525433e-05
2003,E2,0.00013743700963569946
2003,E3,0.0023053277310080555
2003,E4,0.00014138439551308714
2003,E5,0.0005471778263162293
2003,E6,0.00019616669594080044
2003,E7,1.1133355126171317e-05
2003,E8,0.00015675395434077671
2003,E9,0.0003514959932879954
2003,E10,0.0003406465979541869
